SQL Statements,Modified_Statements,Missing Type,Missing Element,Error Position,Query Length,Query Type
SELECT  * FROM  [1314howe].[Vizlet Scores and Features] WHERE  score > 0,No modification,N/A,N/A,{},72,SELECT
"select [date],  0.25 as fat_calorie_percent from ( select top 180 dateadd(month,  6,  [Date]) as [date] FROM  [1314howe].[categorized_fat_with_calories] order by [Date] desc ) x",No modification,N/A,N/A,{},177,SELECT
"SELECT  [VLP.mL] as VirusCount ,  [DAPI..cells.ml.] as BactCount FROM  [446].[Virus_Count_vs_Bact_Count]",No modification,N/A,N/A,{},104,SELECT
"SELECT  a.[Depth..m.] ,  b.[Depth..m.] ,  b.[Station],  a.[Station],  a.[longitude..Decimal.deg.] ,  a.[Tot.Cu.nM.] ,  b.[Ammonia.oxidation.rate..nmol.l.1.d.1.] AS Ammonia_oxydation_rate_nmol FROM  [446].[V2_GEOMICS_Fe-Cu-Mn-Zn-Vedamati.csv] a ,  [446].[V2_Horak_GeoMICS data.csv] b WHERE a.[longitude..Decimal.deg.] = b.[longitude..Decimal.deg.] --AND  a.[Depth..m.] != b.[Depth..m.] AND  b.[Ammonia.oxidation.rate..nmol.l.1.d.1.] <> 'NA' ORDER BY  b.Station,  a.Station,  a.[Depth..m.],  b.[Depth..m.]","SELECT  a.[Depth..m.] ,  b.[Depth..m.] ,  b.[Station],  a.[Station],  a.[longitude..Decimal.deg.] ,  a.[Tot.Cu.nM.] ,  b.[Ammonia.oxidation.rate..nmol.l.1.d.1.] AS Ammonia_oxydation_rate_nmol FROM  [446].[V2_GEOMICS_Fe-Cu-Mn-Zn-Vedamati.csv]  ,  [446].[V2_Horak_GeoMICS data.csv] b WHERE a.[longitude..Decimal.deg.] = b.[longitude..Decimal.deg.] --AND  a.[Depth..m.] != b.[Depth..m.] AND  b.[Ammonia.oxidation.rate..nmol.l.1.d.1.] <> 'NA' ORDER BY  b.Station,  a.Station,  a.[Depth..m.],  b.[Depth..m.]",Missing Allias,a,{'a': 17},503,SELECT
"SELECT chr as Seqname,  'methratio' as Source,  'CpG' as Feature, pos as Start,  (pos + 1) as [End],  ratio as Score,  Strand,  '.' as Frame,  '.' as [Group] FROM  [1123].[BiGO_betty_plain_methratio_v1.txt] where Context like '__CG_' and CT_count > 10",No modification,N/A,N/A,{},251,SELECT
"SELECT  journal,  count(*) FROM  [1143].[unique publications] GROUP BY  journal order by count(*) desc",No modification,N/A,N/A,{},102,SELECT
SELECT  * FROM  [materialized_snapshot bact detection average spc],No modification,N/A,N/A,{},66,SELECT
"SELECT  SUM(""Chlorophyll_Concentration"")/COUNT(""Chlorophyll_Concentration""),  AVG(""Chlorophyll_Concentration"") FROM  [461].[table_Sequim_7D_Chlorophyll.csv]",No modification,N/A,N/A,{},156,SELECT
SELECT  numSpecies FROM  [354].[tmpColumnNameTest],SELECT  numSpecies FROM  .[tmpColumnNameTest],Missing Table,[354],{'[354]': 4},50,SELECT
select * from tbl_revenue where treasurer_fullname not in (select fullname from tbl_person),SELECT * tbl_revenue where treasurer_fullname not in (select fullname from tbl_person),Missing Keywords,from,{'from': 3},91,SELECT
"SELECT  row_number() over (order by [Total Fat] DESC) as row ,  * FROM  [1314howe].[categorized_fat_with_calories] c","SELECT  () over (order by [Total Fat] DESC) as row ,  * FROM  [1314howe].[categorized_fat_with_calories] c",Missing Function,row_number,{'row_number': 2},116,SELECT
"SELECT  CAST([DMY] AS Date) AS [Date] ,  [DMY] + ' ' + [HMS] ,  [LAT] ,  [LON] ,  [CONDUCTIVITY] ,  [SALINITY] ,  [OCEAN.TEMP] ,  [BULK.RED] ,  [STREAM.PRESSURE] ,  [FILTER.PRESSURE] ,  [MACHINE.TEMP] ,  [Xaccel] ,  [Yaccel] ,  [Zaccel] ,  [MILLISECOND.TIMER] ,  [LASER.POWER] ,  [EVENT.RATE] ,  [FLOW.METER] ,  [position] ,  [CHL] ,  [LightTrans] ,  [acqError] ,  [D1D2] ,  [PAR] ,  [time] ,  [day] ,  [file] FROM  [1059].[sds2.tab]","SELECT  CAST([DMY] AS Date) AS [Date] ,  [DMY] + ' ' + [HMS] ,  [LAT] ,  [LON] ,  [CONDUCTIVITY] ,  [SALINITY] ,  [OCEAN.TEMP] ,  [BULK.RED] ,  [STREAM.PRESSURE] ,  [FILTER.PRESSURE] ,  [MACHINE.TEMP] ,  [Xaccel] ,  [Yaccel] ,  [Zaccel] ,  [MILLISECOND.TIMER] ,  [LASER.POWER] ,  [EVENT.RATE] ,  [FLOW.METER] ,  [position] ,  [CHL] ,  [LightTrans] ,  [acqError] ,  [D1D2] ,  [PAR] ,  [time] ,  [day] ,  [file] FROM  [1059].[sds2.tab]",Missing Column,[LON],{'[LON]': 17},433,SELECT
"SELECT  LEN([protein]) - LEN(REPLACE([protein],  ', ',  '')) + 1 FROM  [412].[A1 file 21 reduced]",No modification,N/A,N/A,{},97,SELECT
SELECT  * FROM  [1123].[Mgo_RNAseq_transcript],SELECT *  FROM  [1123].,Missing Column,[Mgo_RNAseq_transcript],{'[Mgo_RNAseq_transcript]': 4},46,SELECT
select count(*) from [CRdb_requestors.csv] cr left join [CTTdb_Requestors.csv] ct on (ct.PI_name = cr.PI_name),No modification,N/A,N/A,{},110,SELECT
SELECT  * FROM  [826].[UreaSiP_DEup_shared_MOR ESIG_and_FC] de left join [826].[table_Psemu1_KEGG_TranscriptIds_added.tab.txt] kegg on de.transcriptId = kegg.transcriptId,No modification,N/A,N/A,{},170,SELECT
"SELECT *  FROM  [1002].[Tokyo_0_tsg.csv]   UNION SELECT  Instr as instrument ,  date,  time ,  [long.dc] as longitude ,  [lat.dc] as latitude ,  T1 ,  case when C1 = 'NA' then NULL else C1 end as C1 ,  S,  SV,  T2 ,  [GPS.week] as gps_week ,  [seconds.in.week] as secondds_in_week FROM  [1002].[Tokyo_1_tsg.csv] WHERE  Isnumeric(C1) = 0","SELECT  FROM  [1002].[Tokyo_0_tsg.csv]   UNION SELECT  Instr as instrument ,  date,  time ,  [long.dc] as longitude ,  [lat.dc] as latitude ,  T1 ,  case when C1 = 'NA' then NULL else C1 end as C1 ,  S,  SV,  T2 ,  [GPS.week] as gps_week ,  [seconds.in.week] as secondds_in_week FROM  [1002].[Tokyo_1_tsg.csv] WHERE  Isnumeric(C1) = 0",Missing Column,*,{'*':2},334,SELECT
SELECT  * FROM  [412].[distinct 1341genome peptides] LEFT JOIN  [412].[Prophet_2014_Sept_08_BeringSea54.pep.xls] ON [412].[distinct 1341genome peptides].peptide=[412].[Prophet_2014_Sept_08_BeringSea54.pep.xls].peptide54 LEFT JOIN  [412].[Prophet_2014_Sept_08_BeringSea56.pep.xls] ON [412].[distinct 1341genome peptides].peptide=[412].[Prophet_2014_Sept_08_BeringSea56.pep.xls].peptide56,SELECT  * FROM  [412].[distinct 1341genome peptides] LEFT  [412].[Prophet_2014_Sept_08_BeringSea54.pep.xls] ON [412].[distinct 1341genome peptides].peptide=[412].[Prophet_2014_Sept_08_BeringSea54.pep.xls].peptide54 LEFT JOIN  [412].[Prophet_2014_Sept_08_BeringSea56.pep.xls] ON [412].[distinct 1341genome peptides].peptide=[412].[Prophet_2014_Sept_08_BeringSea56.pep.xls].peptide56,Missing Keywords,JOIN,{'JOIN': 8},386,SELECT
"SELECT  * FROM  [1123].[AggCo Oyster Bisulfite mRNA and CDS] Where ""SUM mRNA"" > 100 and ""Percent mCpG (CDS)"" > 90","SELECT  * FROM  [1123].[AggCo Oyster Bisulfite mRNA and CDS] Where ""SUM mRNA""  100 and ""Percent mCpG (CDS)"" > 90",Missing Comparision,>,{'>':13},113,SELECT
SELECT  * FROM  [412].[sig eigenvectors pCO2 SPID] LEFT JOIN  [table_TJGR_Gene_SPID_evalue_Description.txt] ON [sig eigenvectors pCO2 SPID].SPID=[table_TJGR_Gene_SPID_evalue_Description.txt].SPID,No modification,N/A,N/A,{},195,SELECT
select distinct journal from article where journal like '%TODS%',No modification,N/A,N/A,{},64,SELECT
select * from [1059].[cstar.csv] order by [V2] desc,No modification,N/A,N/A,{},51,SELECT
SELECT Len(sequence_gg) FROM  [1123].[TJGR_genomic_gene.txt] Where gID like '%CGI_10000001%', SELECT Len(sequence_gg) FROM  [1123].[TJGR_genomic_gene.txt] Where gID '%CGI_10000001%',Missing Keywords,like,{'like': 7},92,SELECT
"select ecp.pathway_name,  se.genus,  count(ecp.ec_number) from [ssgcid_EC_map] se join [ec_pathway.csv] ecp on ecp.ec_number = se.""EC Numbers"" where ecp.pathway_name <> '' group by ecp.pathway_name,  se.genus",No modification,N/A,N/A,{},208,SELECT
"SELECT  DISTINCT CASE WHEN PATINDEX('%[0-9]%',  [protein]) = 1 -- first char is number AND  CHARINDEX(', ',  [protein]) = 0 AND  no comma present THEN [protein] ELSE SUBSTRING([protein], PATINDEX('%[0-9]%',  [protein]),  -- start at first number CHARINDEX(', ',  [protein])-PATINDEX('%[0-9]%',  [protein])) -- length END AS [protein A213] ,  [tot indep spectra] AS [tot spectra A213] FROM  [412].[A2_file13.txt]"," SELECT DISTINCT CASE WHEN PATINDEX('%[0-9]%',  [protein]) = 1 -- first char is number AND  CHARINDEX(', ',  [protein]) = 0  no comma present THEN [protein] ELSE SUBSTRING([protein], PATINDEX('%[0-9]%',  [protein]),  -- start at first number CHARINDEX(', ',  [protein])-PATINDEX('%[0-9]%',  [protein])) -- length END AS [protein A213] ,  [tot indep spectra] AS [tot spectra A213] FROM  [412].[A2_file13.txt]",Missing Keywords,AND,{'AND': 14},414,SELECT
SELECT  count(*) FROM  [1314howe].[UW 2010 Salaries] WHERE  (job_title like '%SOFTWARE%' OR  job_title like '%COMPUTER SPECIALIST%') -- job_title like '%PROFESSOR %' AND  salary > 86000 --ORDER BY  salary DESC,SELECT  (*) FROM  [1314howe].[UW 2010 Salaries] WHERE  (job_title like '%SOFTWARE%' OR  job_title like '%COMPUTER SPECIALIST%') -- job_title like '%PROFESSOR %' AND  salary > 86000 --ORDER BY  salary DESC,Missing Function,count,{'count': 2},209,SELECT
select count(*) FROM  [354].[twitter_rv.6200000],No modification,N/A,N/A,{},48,SELECT
"select * from [1143].tbl_organizer_type order by track_type_id,  organizer_type","SELECT * from .tbl_organizer_type order by track_type_id,  organizer_type",Missing Keywords,[1143],{'[1143]': 4},79,SELECT
"SELECT  * FROM  [1314howe].[uw_employees_dept.csv] d ,  dbo.1385s q WHERE   q.1385name like d.1385name + '%'",No modification,N/A,N/A,{},108,SELECT
SELECT  * FROM  [412].[CG11 unique peps sum] WHERE  [CG11 unique peps sum] > 1,SELECT  * FROM  [412].[CG11 unique peps sum]  [CG11 unique peps sum] > 1,Missing Keywords,WHERE,{'WHERE': 8},78,SELECT
"SELECT chr as chr, start as start, '+' as strand, CT_count as coverage, freqC as freqC, 1-[freqC] as [freqT] FROM  [823].[BiGill_v9_A_step1of2MethylKit]",No modification,N/A,N/A,{},152,SELECT
"SELECT  'Tokyo_1' as source  ,  cast([TCPhase..Deg.] as float)    ,  cast([C1RPh..Deg.] as float)  FROM  [1002].[Tokyo_0_optode.csv]   UNION SELECT  date,  time ,  [long.dc] as longitude ,  [lat.dc] as latitude ,  Instrument ,  case when [Serial.] = 'NA' then NULL else [Serial.] end as serial ,  case when [O2.Conc..uM.] = 'NA' then NULL else [O2.Conc..uM.] end as O2_conc_in_uM ,  case when [Air.Sat....] = 'NA' then NULL else [Air.Sat....] end as air_saturation ,  case when [Temp..Deg.] = 'NA' then NULL else [Temp..Deg.] end as temperature_in_C ,  case when [CalPhase..Deg.] = 'NA' then NULL else [CalPhase..Deg.] end as calphase ,  case when [TCPhase..Deg.] = 'NA' then NULL else [CalPhase..Deg.] end as tcphase ,  case when [C1RPh..Deg.] = 'NA' then NULL else [C1RPh..Deg.] end as C1rph ,  case when [C2RPh..Deg.] = 'NA' then NULL else [C2RPh..Deg.] end as C2rph ,  case when [C1Amp..mV.] = 'NA' then NULL else [C1Amp..mV.] end as C1amp_in_mv ,  case when [C2Amp..mV.] = 'NA' then NULL else [C2Amp..mV.] end as C2amp_in_mv ,  case when [RawTemp..mV.]  = 'NA' then NULL else [RawTemp..mV.] end as rawtemp_in_mv ,  [C.Star.serial.] as C_star_serial ,  [Reference.raw] as reference_raw ,  [Signal.raw] as signal_raw ,  [Corrected.signal] as corrected_signal ,  [Calc..beam.c] as calc_beam_c ,  [Internal.thermistor] as internal_thermistor ,  [GPS.week] as gps_week ,  [seconds.in.week] as seconds_in_week FROM  [1002].[Tokyo_0_optode.csv]","SELECT  'Tokyo_1' as source  ,  ([TCPhase..Deg.] as float)    ,  cast([C1RPh..Deg.] as float)  FROM  [1002].[Tokyo_0_optode.csv]   UNION SELECT  date,  time ,  [long.dc] as longitude ,  [lat.dc] as latitude ,  Instrument ,  case when [Serial.] = 'NA' then NULL else [Serial.] end as serial ,  case when [O2.Conc..uM.] = 'NA' then NULL else [O2.Conc..uM.] end as O2_conc_in_uM ,  case when [Air.Sat....] = 'NA' then NULL else [Air.Sat....] end as air_saturation ,  case when [Temp..Deg.] = 'NA' then NULL else [Temp..Deg.] end as temperature_in_C ,  case when [CalPhase..Deg.] = 'NA' then NULL else [CalPhase..Deg.] end as calphase ,  case when [TCPhase..Deg.] = 'NA' then NULL else [CalPhase..Deg.] end as tcphase ,  case when [C1RPh..Deg.] = 'NA' then NULL else [C1RPh..Deg.] end as C1rph ,  case when [C2RPh..Deg.] = 'NA' then NULL else [C2RPh..Deg.] end as C2rph ,  case when [C1Amp..mV.] = 'NA' then NULL else [C1Amp..mV.] end as C1amp_in_mv ,  case when [C2Amp..mV.] = 'NA' then NULL else [C2Amp..mV.] end as C2amp_in_mv ,  case when [RawTemp..mV.]  = 'NA' then NULL else [RawTemp..mV.] end as rawtemp_in_mv ,  [C.Star.serial.] as C_star_serial ,  [Reference.raw] as reference_raw ,  [Signal.raw] as signal_raw ,  [Corrected.signal] as corrected_signal ,  [Calc..beam.c] as calc_beam_c ,  [Internal.thermistor] as internal_thermistor ,  [GPS.week] as gps_week ,  [seconds.in.week] as seconds_in_week FROM  [1002].[Tokyo_0_optode.csv]",Missing Function,cast,{'cast:4},1442,SELECT
SELECT  * FROM  [1314howe].[uwsalaries.csv] where [percent] < 100 and [percent] > 0,SELECT  * FROM  [1314howe]. where [percent] < 100 and [percent] > 0,Missing Table,[uwsalaries.csv],{'[uwsalaries.csv]': 4},83,SELECT
SELECT  * FROM  [1017].[matched_DEGs_IFheads_2] where heads='%FBgn',No modification,N/A,N/A,{},67,SELECT
SELECT  * FROM  [823].[arrayRegions_mRNA.txt] left join [1123].[TJGR_Gene_SPID_evalue_GO_bigfile] on [1123].[TJGR_Gene_SPID_evalue_GO_bigfile].[Column1]=[arrayRegions_mRNA.txt].[Column9],No modification,N/A,N/A,{},186,SELECT
SELECT  * FROM  [412].[mouse blast with treatments] Where OA = '*',No modification,N/A,N/A,{},66,SELECT
"select * FROM  [1002].[Tokyo_1_optode.csv] o, [1002].[Tokyo_1_tsg.csv] t, [1002].[Tokyo_1_suna.csv] s WHERE  isnumeric(o.[long.dc]) = 1 AND  isnumeric(o.[lat.dc]) = 1 AND  o.date = t.date AND  o.date = s.date AND  t.date = s.date AND  o.time = t.time AND  o.time = s.time AND  t.time = s.time",No modification,N/A,N/A,{},292,SELECT
SELECT   survey_institution FROM  [813].[oser11.csv] WHERE  app_bio_total > 75,SELECT    FROM  [813].[oser11.csv] WHERE  app_bio_total > 75,Missing Column,survey_institution,{'survey_institution': 2},78,SELECT
"WITH  new_sds AS (SELECT  * ,  ROW_NUMBER() OVER (ORDER BY  UnixTimestamp ASC) AS row FROM  [1059].[SDS_VIEW] WHERE  UnixTimestamp > 0) ,  num_tracks AS (SELECT  COUNT(*) as num_tracks FROM  new_sds) ,  granularity AS (SELECT  CASE WHEN num_tracks < 1000 THEN 1 ELSE CONVERT(INT,  num_tracks/1000) END AS granularity FROM  num_tracks) SELECT  COUNT(*) FROM  new_sds,  num_tracks,  granularity WHERE  (row-num_tracks) % granularity = 0","  new_sds AS (SELECT  * ,  ROW_NUMBER() OVER (ORDER BY  UnixTimestamp ASC) AS row FROM  [1059].[SDS_VIEW] WHERE  UnixTimestamp > 0) ,  num_tracks AS (SELECT  COUNT(*) as num_tracks FROM  new_sds) ,  granularity AS (SELECT  CASE WHEN num_tracks < 1000 THEN 1 ELSE CONVERT(INT,  num_tracks/1000) END AS granularity FROM  num_tracks) SELECT  COUNT(*) FROM  new_sds,  num_tracks,  granularity WHERE  (row-num_tracks) % granularity = 0",Missing Keywords,WITH,{'WITH': 1},434,OTHER
"SELECT  * FROM  [354].[table_cni1319n_oyster_v9_M_fuzznuc_CG.gff] WHERE  SUBSTRING(Seqname, 0, 2) NOT LIKE '##'",No modification,N/A,N/A,{},111,SELECT
"SELECT  binid ,  avg(T1) as Temperature ,  avg(S) as Salinity ,  avg(longitude) as longitude ,  avg(latitude) as latitude FROM  ( SELECT   cast(floor(ts) + floor((ts - floor(ts))*24*60/binsize)*binsize / (24*60) as datetime) as binid ,  * FROM  ( SELECT  *,  cast(timestamp as float) as ts,  5.0 as binsize FROM  [1002].[Tokyo_tsg] ) x ) bins GROUP BY  binid order by binid asc",No modification,N/A,N/A,{},377,SELECT
SELECT  i.* FROM  [1314howe].[table_Seattle_Police_Department_Police_Report_Incident.csv] i WHERE  NOT EXISTS ( SELECT  * FROM  [1314howe].[Seattle_Police_Department_Police_Report_Offense.csv] o WHERE  o.[CDW Incident ID] = i.[RMS CDW ID] ),  i.* FROM  [1314howe].[table_Seattle_Police_Department_Police_Report_Incident.csv] i WHERE  NOT EXISTS ( SELECT  * FROM  [1314howe].[Seattle_Police_Department_Police_Report_Offense.csv] o WHERE  o.[CDW Incident ID] = i.[RMS CDW ID] ),Missing Keywords,SELECT,{'SELECT': 1},240,SELECT
SELECT  * FROM  [1017].[aged&IF_genes_wRPKMs] where heads like '%FB',No modification,N/A,N/A,{},68,SELECT
"SELECT  [expect] AS [F1.1 expect], [peptide] AS [F1.1 peptide], [protein] AS [F1.1 protein] FROM  [412].[table_interact-2015_May_6_Bacteria_Dectection13.pep.xls54155]",No modification,N/A,N/A,{},166,SELECT
"SELECT  * FROM  [206].[SQLTest5.txt] WHERE  Column1 not in ('$550, 004.23', '$500, 000.23', '$523, 000.23')"," SELECT * FROM  [206].[SQLTest5.txt] WHERE  Column1 in ('$550, 004.23', '$500, 000.23', '$523, 000.23')",Missing Keywords,not,{'not': 7},107,SELECT
SELECT  distinct Protein FROM  [412].[allblast],SELECT   FROM  [412].[allblast],Missing Keywords,distinct,{'distinct': 2},47,SELECT
"select pathway_name,  count(distinct ec_number) from [ec_pathway.csv] where pathway_name <> '' group by pathway_name order by pathway_name","select pathway_name,  (distinct ec_number) from [ec_pathway.csv] where pathway_name <> '' group by pathway_name order by pathway_name",Missing Function,count,{'count': 3},138,SELECT
SELECT  COUNT (*) FROM ( SELECT  * FROM  [1123].[BiGo_lar_M3] Where CT_count >= 5 and context like '__CG_' and ratio = '0.000' ) alias,SELECT  (*) FROM ( SELECT  * FROM  [1123].[BiGo_lar_M3] Where CT_count >= 5 and context like '__CG_' and ratio = '0.000' ) alias,Missing Function,COUNT ,{'COUNT:2},134,SELECT
"SELECT  [protein] AS [protein 3FE.3], [protein probability] AS [probability 3FE.3], [tot indep spectra] AS [tot spectra 3FE.3] FROM  [412].[table_interact-2015_May_26_Geoduck_74.prot.xls]",No modification,N/A,N/A,{},187,SELECT
"SELECT  residues.pdb_id,  proteins.gaps,  residues.res_type,  residues.res_index,  residues.res_type ,  residues.res_type_sh,  residues.chain,  residues.res_surface_area,  residues.res_surface_area_ratio, residues.phi,  residues.psi,  residues.structure FROM  [1267].[H2_w_2.csv] residues FULL JOIN  [1267].[h2_w_1.csv] proteins ON proteins.pdb_id=residues.pdb_id WHERE  proteins.gaps = 0  AND  residues.pdb_id IS NOT NULL ORDER BY  residues.pdb_id","SELECT  residues.pdb_id,  proteins.gaps,  residues.res_type,  residues.res_index,  residues.res_type ,  residues.res_type_sh,  residues.chain,  residues.res_surface_area,  residues.res_surface_area_ratio, residues.phi,  residues.psi,  residues.structure FROM  .[H2_w_2.csv] residues FULL JOIN  [1267].[h2_w_1.csv] proteins ON proteins.pdb_id=residues.pdb_id WHERE  proteins.gaps = 0  AND  residues.pdb_id IS NOT NULL ORDER BY  residues.pdb_id",Missing Table,[1267],{'[1267]': 16},448,SELECT
"select * FROM  ( SELECT  Name,  [Job Title] as job_title,  [2010 Gross Earnings] as salary FROM  [1314howe].[uw_salaries_2011.txt] ) x WHERE  job_title like '%PRINCI%' AND  job_title not like '%APL%' AND  salary > 50000 --ORDER BY  salary desc","SELECT * FROM  ( SELECT  Name,  [Job Title] as job_title,  [2010 Gross Earnings] as salary FROM  [1314howe].[uw_salaries_2011.txt] ) x WHERE  job_title like  AND  job_title not like '%APL%' AND  salary > 50000 --ORDER BY  salary desc",Missing Value,%PRINCI%',"{""%PRINCI%'"": 23}",243,SELECT
"SELECT  * ,  DatePart(yy, [time]) as [year] ,  DatePart(month, [time]) as [month] ,  DatePart(day,  [time]) as [day] ,  DatePart(hh,  [time]) as [hh] ,  DatePart(mm,  [time]) as [mm] ,  DatePart(ss,  [time]) as [ss] FROM  [446].[table_SeaFlow_GeoMICS_data.tab]",No modification,N/A,N/A,{},260,SELECT
"SELECT  cast(timestamp as datetime) as timestamp ,  start_of_tidal_cycle ,  end_of_tidal_cycle ,  tidal_cycle ,  phase ,  location ,  event_knots ,  current_intensity FROM  [1314howe].[table_untitled (2).txt]","SELECT  cast( as datetime) as timestamp ,  start_of_tidal_cycle ,  end_of_tidal_cycle ,  tidal_cycle ,  phase ,  location ,  event_knots ,  current_intensity FROM  [1314howe].[table_untitled (2).txt]",Missing Keywords,timestamp,{'timestamp':3},208,SELECT
SELECT  * FROM  [1041].[table_MyTable_dmedv.csv] ORDER BY  field*mode*mode,No modification,N/A,N/A,{},74,SELECT
"SELECT  count(*),  avg(a.grade) as amathgrade,  avg(c.grade) as csegrade FROM  [1314howe].[amath_analysis.csv] a ,  [1314howe].[amath_analysis.csv] c WHERE  a.dept_abbrev = 'AMATH' AND  c.dept_abbrev = 'CSE' AND  a.system_key = c.system_key --AND  a.start_date = c.start_date AND  a.s1_gender = 'M'","SELECT  count(*),  avg(a.grade) as amathgrade,  avg(c.grade) as csegrade FROM  [1314howe].[amath_analysis.csv] a ,  [1314howe].[amath_analysis.csv] c WHERE   = 'AMATH' AND  c.dept_abbrev = 'CSE' AND  a.system_key = c.system_key --AND  a.start_date = c.start_date AND  a.s1_gender = 'M'",Missing Column,a.dept_abbrev,{'a.dept_abbrev': 16},298,SELECT
SELECT  count(*) FROM  [823].[CGbigill5x_asgff] WHERE  score <= 0.25,SELECT  count(*) FROM  [823].[CGbigill5x_asgff] WHERE   <= 0.25,Missing Column,score,{'score': 6},68,SELECT
SELECT  * FROM  [253].[table_nsfastgrantbib20121130 (1).csv] WHERE  Refereed='refereed',SELECT  * FROM  [253].[table_nsfastgrantbib20121130 (1).csv] WHERE  ='refereed',Missing Column,refereed,{'refereed': 7},87,SELECT
"WITH  DEGMIN (DLAT,  DLON) AS (SELECT  CAST([LAT] AS FLOAT)/100 AS DLAT ,  CAST([LON] AS FLOAT)/-100 AS DLON FROM  [1059].[SDS_VIEW_VARCHAR]) SELECT  TOP 5 ROUND(DLAT,  0,  1) + [DLAT] - ROUND(DLAT,  0,  1) AS LAT FROM  DEGMIN WHERE  [DLAT] IS NOT NULL","WITH  DEGMIN (DLAT,  DLON) AS (SELECT  CAST([LAT] AS FLOAT)/100 AS DLAT ,  CAST([LON] AS FLOAT)/-100 AS DLON FROM  [1059].[SDS_VIEW_VARCHAR]) SELECT  TOP 5 ROUND(DLAT,  0,  1) + [DLAT] - ROUND(DLAT,  0,  1) AS LAT FROM   WHERE  [DLAT] IS NOT NULL",N/A,N/A,{},252,OTHER
"SELECT  count(*)/8284 as P,  abs_angle FROM  [145].[FreeOH] group by abs_angle order by abs_angle","SELECT  count(*)/8284 as P,  abs_angle FROM  [145].[FreeOH] by abs_angle order by abs_angle",Missing Keywords,group,{'group': 8},97,SELECT
